authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"Syracuse, NY",,This Job required handling millions of dollars and when that kind of money is involved in handling it can be stressful but rewarding if your professional and courteous so I appreciate the opportunity to work there since it stands out so well to enter the downtown Syracuse NY area.,19 novembre 2012,Customer Service Representative,AXA Equitable Life Insurance
"Toronto, On although head office is in London On",,"AXA insurance has been a fantastic work experience for me. Everyone is empowered to do their job well without being micro managed. This is a great environment to work in. Everyone is a team player and support each other on a daily basis. You can't ask for a better environment. The hardest part of this job is when the last day comes as AXA was bought out by INTACT Insurance. The most enjoyable part of this job was the trust by management for the team to get things done and we did.,I will miss working for AXA Insurance when the time comes.",7 novembre 2012,Consultant,AXA Equitable Life Insurance
"Atlanta, GA",,I worked daily to help people build better futures. A financial planner and cash flow specialists can have a positive impact on businesses and individuals. I love helping people and improving their lives.,28 octobre 2012,Financial Planner,AXA Equitable Life Insurance
"Williamsville, NY",,I would stay with the company if they had a position for me in Phoenix,25 octobre 2012,Branch Operations Manager/Chief of Staff,AXA Equitable Life Insurance
"Jersey City, NJ",,"A lot of fire fighting analysis,Learned project analysis to present to CIO",23 octobre 2012,IT Operations Analyst Associate,AXA Equitable Life Insurance
"Charlotte, NC",,The shift started at 12 and went until 8 at night. I was given lots of opportunity to learn new things about life insurance. The hardest part of the job was adapting to ever changing job requirements. The most enjoyable part was definitely my co workers.,7 octobre 2012,Applications Processor,AXA Equitable Life Insurance
"New York, NY",,"Worked with team of experienced tech that are co-operative and fun to work with.,Learnt new apps and gained more knowledge in the financial industry.,Good management that sees to the welfare of workers.",2 octobre 2012,Desktop Support Analyst,AXA Equitable Life Insurance
"Secaucus, NJ",,"AXA offers a great opportunity to launch your career, proving segue into the company with information about all the products that are offered. On a day to day basis, you have the opportunity to help agents and clients help understand the contracts, the benefits accompanying the contracts and various options available to carry through with their retirement plans.",27 septembre 2012,Intern,AXA Equitable Life Insurance
"New York,NY",,"learned Insurance application, professional enviroment",26 septembre 2012,Senior Developer responsible for development,AXA Equitable Life Insurance
Paris (75),,"Trop de contrainte de gestion du portefeuille,Propection de nouveaux clients,Tres bon management",18 avril 2016,COMMERCIAL ASSURANCES,AXA Equitable Life Insurance
"New York, NY",,"Worked very Long hours. Very goal oriented.,Good benefits.",26 septembre 2012,Senior Regional Sales Associate,AXA Equitable Life Insurance
Agente,,Positiva. Tiene buena imagen Corporativa. Trabajé para un Agente exclusivo de la empresa Axa.,26 septembre 2012,Asesor de Inversiones,AXA Equitable Life Insurance
"Duluth, GA",,"Your typical investment firm. Resources available for different products.,Learned how to present financial products to customers based on their goals, objectives, and risk tolerance.,Co-Wokers were intelligent and we're always approachable.,The hardest part of the job was making 100% commission with no base salary in the worst recession in 80 years.,The most enjoyable part of the job was the ability to create your on business strategy.",26 septembre 2012,Independent Financial Advisor,AXA Equitable Life Insurance
"Charlotte, NC",,The benefit package is good and they are working on a work from home program.,22 septembre 2012,Policy Change Analyst,AXA Equitable Life Insurance
"Toronto, ON",,A typical day at work would be to enter insurance information for clients and ensured everything balance. My co-workers were respectful towards me.,21 septembre 2012,Data Entry Clerk,AXA Equitable Life Insurance
"Syracuse, NY",,"Typical 9-5 desk job.,Great for some, but I found myself bored and always wanting to do more work.,I learned the corporate ways of doing things; everything has a process and must be throughout.,My co workers were fine with the time I saw them outside the cubicle.,There wasn't really a hard part about this job.,Most enjoyable was that I had benefits, vacation, and holiday time.",13 septembre 2012,Corporate Switchboard Operator,AXA Equitable Life Insurance
"Farmington, CT",,"I manage a team of 6 underwriters and 4 case managers. We handle AXA's most important customers and provide them with the concierge service they have grown accustomed too. I conduct meeting with our internal and external account mangers discussing the pipeline of business, goals and way to attract new customers. I constantly look and often implement process improvements in effort to save the organization time and money. Dealing with the customers and managing the overall accounts is where I excel and focus my time. I'm the face of the organization for two accounts which provide over $40M in premiums each year.",12 septembre 2012,Relationship Manager,AXA Equitable Life Insurance
"Secaucus, NJ",,There was always something to do. Most of my co-workers were team players which made my job managing them easlier.,5 septembre 2012,Insurance Technical Specialist,AXA Equitable Life Insurance
Pune,,"I started working with AXA in 2004, I joined as a Treasury Analyst... and worked hard...had won many awards.... but moved to join as Executive Assistant to the VP of Acturial dept. Then had to work for another VP as well... didn't like his working culture",3 septembre 2012,Joined as Treasury Analyst in Nov,AXA Equitable Life Insurance
"Bogotá, CUN",,"es un trabajo donde se aprende bastante, ademas la parte humana es muy colaboradora y estan muy pendientes de sus empleados, motivandolos siempre.,aprendi mucho acerca de las asistencias que existen con los seguros o tarjetas de credito que las personas adquieren, ya que son beneficios adicionales que tienen las personas por contar con estas polizas por asi decirlo. ademas conoci mucha gente interesante y aprendi mucho de cada uno de ellos.,la parte mas dificil del trabajo era cuando habia que decir a algun usuario que lamentablemente no contaba ya con el servicio por que ya habia culminado su poliza o que simplemente por cobertura no era posible prestarle algun servicio. pero de igual modo siempre habia la mejor manera de decir las cosas.,lo que me ha gustado de ese trabajo es que estan muy pendientes de la parte humana pues contamos con todas las prestaciones sociales y daban motivaciones muy buenas por hacer bien nuestro trabajo cada dia.",30 août 2012,coordinador de asistencia,AXA Equitable Life Insurance
"Jersey City, NJ",,"The company has been laying off since I've been here for two years so the environment doesn't appear to be very stable.,I've learned more about the financial services industry, our sales force and annuity products. They are putting forther effort to become more diverse especially in the sales area. I believe they are striving to redefine the culture.,It is difficult to get promoted if you do not come from the sales force.",29 août 2012,Senior Financial Analyst,AXA Equitable Life Insurance
"Syracuse, NY",,"AXA-Equitable is a good company but, it is hard to get promoted. I exceed all of my goals on a daily basis and I am never rewarded for doing so.",28 août 2012,Personal Account Manager,AXA Equitable Life Insurance
"Falls Church, VA",,Acquiring my Series 6 and 63 was all part of the learning process when employed here. Obtaining those licenses as valid criteria to advise clients and understand financial portfolio's and products was essential. The hardest part of the job was obtaining those creditials and participating in continued education courses to remain employed. The most enjoyable part of the job was being able to meet so many people and learn about financial security.,28 août 2012,Executive Assistant/Licensing & Hiring Coordinator,AXA Equitable Life Insurance
"New York, NY",,I enjoyed working in the marketing department with creative people. I also liked the diversity in the types of projects that came my way. My co-workers were easy to get along with and I had a great manager who allowed me to be creative. I especially liked the volunteer work I did with AXA Way.,22 août 2012,Marketing Consultant,AXA Equitable Life Insurance
"Charlotte, NC",,I have lots of duties but one of the main ones is to process the mail that comes to the company. I've learned alot about life insurance. I have some good co-workers and some that are not so easy to get along with so i just distance myself from the negative ones. The hardest part of my job is ignoring the negative talk and people. The best part is that i love what i do.,22 août 2012,Transaction Processor,AXA Equitable Life Insurance
"New York, NY",,"Great management, learned wonderful sales skills, developed strong knowledge of various investment and insurance products.",19 août 2012,Financial Advisor,AXA Equitable Life Insurance
"New York, NY",,"Fast paced, and fun working environment. Lots of opportunity to learn new products.",17 août 2012,"Sr. Manager, Policy Forms Filing",AXA Equitable Life Insurance
"Miami, FL",,"My duties here were your regular office duties. I had to file papers, input client data into the computer system, make copies if asked to make copies, answer phones if asked to answer phones. I assisted other secretaries with any duties they needed help with.",15 août 2012,Office Clerk,AXA Equitable Life Insurance
"Scottsdale, AZ",,"Supported 7 sales people,,Processed rollover and new account applications,Acted as liaison between customer and internal processing,Prepared various reports for Vice Presidents,Kept all marketing materials up to date",15 août 2012,Sales Support Coordinator,AXA Equitable Life Insurance
"New York, NY",,"The company has at times been an excellent place to work but as the company has fallen on tough times in recent years, it has increasingly become a worse place to work. The company is very effected by the current prolonged rate environment and has no choice but to reduce expenses in order to honor the rich guarantees in some of the in-force products. As a result, salaries and promotions have been frozen and there have been numerous rounds of layoffs.",15 août 2012,AVP,AXA Equitable Life Insurance
Paris (75),,"Trop de contrainte de gestion du portefeuille,Propection de nouveaux clients,Tres bon management",18 avril 2016,COMMERCIAL ASSURANCES,AXA Equitable Life Insurance
Haverhill,,fun flexible company to work for the people are very nice although the pay is low but the flexible hours are a good benifit,14 août 2012,Claims Negotiator,AXA Equitable Life Insurance
"Navi Mumbai, MH",,"Learnt Management, resources gets freedom at work.,Co-workers are also co-operative.",14 août 2012,Assciate Consultant,AXA Equitable Life Insurance
"jersey city,nj",,"Review data for IT licenses in tracking system,Provide monthly CIO report,Calculate On Time/On Budget KPI,Approve license purchases in Ariba,Request software push to users using current inventory,Management is very open to employees ideas and willing to include employees in high level meetings if they work on major analysis",6 août 2012,IT operations analyst associate,AXA Equitable Life Insurance
United States,,I worked a a consultant and was treated no differently than a full time employee. Excellent management involvement that encourages employee feedback.,5 août 2012,"Windows 7 Campus Migration, Senior Project Manager",AXA Equitable Life Insurance
"New York, NY",,This experience gave me a better understanding of the financial industry and allowed me to explore other avenues in my educational and personal life.,31 juillet 2012,Advisor's Assistant,AXA Equitable Life Insurance
"Las Vegas, NV",,"Very interesting look into finance and retirement planning. Dull schedule planning, but corporate paperwork was very interesting.",25 juillet 2012,Office/Executive Assistant,AXA Equitable Life Insurance
"Los Angeles, CA",,"A insurance/financial company that sales all different types of insruance, annuities and investements.",23 juillet 2012,Case Manager/ Administrative Assistant,AXA Equitable Life Insurance
"Jersey City, NJ",,AXa is a very fun place to work. Working as part of a team hellps motivate and push you to be better. The people are great.,20 juillet 2012,"Senior Internal Wholesaler, AXA Distributors",AXA Equitable Life Insurance
"Morristown, NJ",,"very flexible, very hard to succeed,lots of evening and weekend hours required",18 juillet 2012,Financial Advisor,AXA Equitable Life Insurance
"charlotte, nc",,This wasnt your average call center. The moral here was great because the company really celebrated its employees. Trainers were very competent in teaching the material in training.,11 juillet 2012,Customer service Specialist,AXA Equitable Life Insurance
"New York, NY",,Involved in a lot of human resource duties and administrative duties,29 juin 2012,Human Resource Intern,AXA Equitable Life Insurance
"Cleveland, OH",,Very little training - then they throw you out there an expect you to sell! They place you in districts that are either over satuarted with Axa reps or have had a bad experience dealing with the company. Many people leave after a few months (including myself). There are much better companies out there!,23 juin 2012,Financial Professional,AXA Equitable Life Insurance
"Cleveland, OH",,"As a financial professional you have training opportunities that are designed to help you be successful in your career. There are some very intelligent and talented managers at Axa and if you are lucky enough to get one of them, I can almost guarantee a long and successful career.",23 juin 2012,Financial Professional,AXA Equitable Life Insurance
"Calgary, Aberta",,"Management did not help or show one how to improve, they ended up choosing their weakest links in the company and letting them go, myself included. Turns out, the company went under anyways.",16 juin 2012,Claims Tech 1/Reception,AXA Equitable Life Insurance
"Polanco, DF",,"Pagan por medio de un outsourcing y es muy baja en comparación con otras aseguradoras, las instalaciones son muy antiguas obsoletas, pareciera que no cuentan con recursos y el ambiente laboral es como de hace 50 años..... Mal....",13 juin 2012,Asesor de seguros,AXA Equitable Life Insurance
"Milwaukee, WI",,"I found working there to be difficult because it was who you knew, not what you knew to be what worked. Unfortunately, what I brought along didn't want to go with me.",11 juin 2012,Registered Representative,AXA Equitable Life Insurance
"Ciudad de México, DIF",,"LA VINCULACION Y TRABAJO EN EQUIPO ES MUY IMPORTANTE, EL QUE PERMITAN CRECER Y DESARROLLARTE EN EL, REFERENTE A LA DIRECCION Y GERENCIA EN LAS DOS QUE LABORE. LOS COMPAÑEROS SON PARTE IMPORNTE, LA CONFIANZA Y ARMONIA. EL TIEMPO PARECE ADVERSO EN CIERTAS SITUACIONES.",5 juin 2012,Supervisor (Ejecutivo-Brokers),AXA Equitable Life Insurance
"New York, NY",,Learned the importance of public speaking and client-facing skills. Most difficult part of the job is prospecting and cold-calling because it is the bread and butter of becoming successful.,31 mai 2012,Financial Advisor,AXA Equitable Life Insurance
"Secaucus, NJ",,"oversaw and spearheaded all documents associated with IRA and TSA transfers, Mutual Fund/CD and 1035 exchanges.",29 mai 2012,Case Coordinator,AXA Equitable Life Insurance
New York,,"Management, team members are really good and friendly.,This company is simple superb.",14 mai 2012,ETL /Informatica Developer,AXA Equitable Life Insurance
Paris (75),,"Trop de contrainte de gestion du portefeuille,Propection de nouveaux clients,Tres bon management",18 avril 2016,COMMERCIAL ASSURANCES,AXA Equitable Life Insurance
"New York, NY",,Worked with large group of people and often were taken out for drinks or had lunch brought in by mutual fund companies.,9 mai 2012,Internal Wholesaler,AXA Equitable Life Insurance
"Bellevue, WA",,"That's it. They hire people in gords, and exploit them, and they don't really care when you leave.",9 mai 2012,Financial Advisor,AXA Equitable Life Insurance
"Charlotte, NC",,"AXA-Equitable has very good employee benefits. Like health care, shares, paid time off. All benefits start day one.,They are flexible in work hours. In some areas you don't have a set start time, you are only required to put in your 8hrs.",8 mai 2012,Policy Service Analyst,AXA Equitable Life Insurance
"Charlotte, NC",,I have been with AXA Equitable for 16 years. I have enjoyed working with my co-workers and management. My job functions include multi-tasking with various functions. I enjoy my job the most when I can make the client happy with their requests. It makes me feel good as an employer knowing the client is happy.,7 mai 2012,Customer Service Analyst,AXA Equitable Life Insurance
"New York, NY",,"Typical day involves monitoring risks and trading,Learned hands on skills in implementing hedging strategies and trading,Management is risk averse and cautious,Co-workers are extremely motivated and driven,Hedging market risk of a complicated book is a challenge,Ability to take risk within the mandates of the company",4 mai 2012,ASSISTANT VICE PRESIDENT - Dynamic Hedging,AXA Equitable Life Insurance
"New York, NY",,"A fast-paced environment, productive and competitive. Management does an excellent job at overseeing operations. Focus on building and maintaining professional clientele relationships.",3 mai 2012,Executive Administrator,AXA Equitable Life Insurance
"New York, NY",,"A typical day at work would be from 8am-8pm or later.,I learned the value of working independently and working as if it were my own business.,The management at AXA is phenomenal. They teach individuals to strive for nothing but the best.,The most difficult part of the job at the time was finding new prospects for business.,The most enjoyable and rewarding part of the job was closing a deal and gaining a client.",3 mai 2012,Financial Consultant Intern,AXA Equitable Life Insurance
"Secaucus, NJ",,"I have been fortunate to work with some of the hardest working people in the business. Working for the Service Area, you have to have the ability to see multiple viewpoint to a single issue. I've seen staff become flexible during this very difficult time by working and learning different functions in order to show verisitility and creativity.",3 mai 2012,BENEFICIARY Claim Analyst,AXA Equitable Life Insurance
"Lake Success, NY",,It's was a phenomenal job. Unfortunately I moved out of state & had to resign from my position with AXA-Equitable.,23 avril 2012,Executive Administrative Assistant,AXA Equitable Life Insurance
"Chicago, IL",,The Summary states it all. This job is not worth it. Simply put!,23 avril 2012,International Personal Advisor,AXA Equitable Life Insurance
"New York, NY",,"AXA is good place to work at with good people. However, due to management decisions, they tend to let go of senior people only to hire entry level workers to save money. I've seen this time and time again.",21 avril 2012,Manager - Financial Analysis,AXA Equitable Life Insurance
"Houston, TX",,"I've learned to manage my time well, thrive in the midst of adversity and bloom where I'm planted.,Typical day at work: arrive, work and leave.,The hardest part of my job: dealing with coworkers/management that lack vision, are not held accountable for their actions/mistakes while others are being blamed, having to figure out what is expected of me versus effectively communicating with one another and knowing.,The most enjoyable part of my job: meeting new people, knowing that I've kept my focus, that my tasks are accomplished and that the customer/employee is satified.",13 avril 2012,Executive Assistant to Branch Manager,AXA Equitable Life Insurance
"Portland, OR",,"Lots of paperwork and data entry.,Management is mostly hands-off, but extremely demanding in work output.,Coworkers are generally appreciative of efforts made that help them directly.,Overlap of duties between several positions caused much confusion within the office.",11 avril 2012,Administrative Marketing Assistant,AXA Equitable Life Insurance
"New York, NY",,HELPED INDIVIDUALS AND COMPQANPANIES WITH INSURANCE MUTUAL FDS PROFITABLE BUSINESS ADVANTURES ETC,10 avril 2012,financial representative,AXA Equitable Life Insurance
"Denver, CO",,Do not work here. It's a scam and a waste. I learned not to trust people.,9 avril 2012,Financial Consultant,AXA Equitable Life Insurance
New York,,"I have been with AXA Equitable for five years. I have enjoyed the company and continue to strive to do everything I can to inspire creativity and inspiration. The company has a wonderful work force that work very hard to complete task after task, but it's not an easy industry. The culture and environment of the company have been affected, but the remaining employees are strong.",28 février 2012,Associate Product Manager,AXA Equitable Life Insurance
Michigan,,"A few pleasant, professional co-workers from my limited experience. The culture of Always Be Closing (ABC), and Overcoming Objections, permeated most aspects of our approach to propect/client interaction. This is a successful international company with some smart, capable leaders at the top. Regional and local leadership is not of the same caliber.",28 février 2012,Financial Consultant,AXA Equitable Life Insurance
"Cincinnati, Ohio",,"A great company that has an amazing management team and great staff members, advisors and representatives! A company that believes in their agents, their products. What they do for their agents is unbelievable",16 février 2012,Registered Representative,AXA Equitable Life Insurance
"New York, New York",,My experience at AXA Equitable was a positive one I learned many things and it was a great place for career advancement. They pushed there employees to always be the best and to gain more knowledge that will further their careers.,10 janvier 2012,Support Clerk/Central Files,AXA Equitable Life Insurance
New Orleans,,"Company was okay, it gave me an opportunity to excel according to my abilities.",8 décembre 2011,Financial Consultant,AXA Equitable Life Insurance
Paris,,"Took care of project management about helping salesmen to improve business efficiency.,Due to declining mail volume, the postal sector had to develop,a new management policy to increase the performance.,Strong corporate culture.",8 mai 2014,Junior Project Manager,LE GROUPE LA POSTE
"Grenoble, B9",,"Naturally welcoming and cheerful, I know how to be a good listener ,In order to create good human relationships.,Being polyvalent and motivated allowed me to develop a great,sense of adaption.,Dynamic, creative, with solid knowledge in informatics, I take initiatives to improve the communication in a team.",10 décembre 2015,Postman,LE GROUPE LA POSTE
"Bois-d'Arcy, A8",,"I was in charge of carrying boxes of mails and I had to sort mails depending the platform it had to be send.,I learned the basics of the management of mails in this platform and I learned how to use different types of machines.,There was a very good atmosphere between co-workers.,The hardest part of the job is probably to hold the boxes all the shift long because sometimes these boxes were about 10kg. ,But the most enjoyable part of the job is for me the kindness and the happyness in the team work.",19 octobre 2015,production officer,LE GROUPE LA POSTE
"Cestas, 97",,"I would be very motivated for every job in the kitchen.,I have learn 2 years in the hospitality school and i have 3 years experiences in the kitchen.",24 janvier 2015,Commis de cuisine,LE GROUPE LA POSTE
Avrillé,,"I've learned how to be with the public, bank skills, post transactions.",21 octobre 2013,Receptionist,LE GROUPE LA POSTE
"Paris, A8",,"My colleges are nice and we communicate really with each others. My boss is cool but is demanding.,The most enjoyable part of the job is to meet people and talk with them about ethic, doing presentation and work to develop an ethic behavior in the company.,The hardest part is to convince the employee, that ethic is important for the company. We work a lot on training the employees because they do not understand the meaning of ethic.",22 juin 2013,Ethic officer,LE GROUPE LA POSTE
LIMOGES FRANCE,,"3 promotions in the same enterprise on a 12 year period.Before reaching the position of quality manager,I was team manager ,responsible for productivity,sales,efficiency,organization on a large scale,and started as an entry level agent,where already,the enterprise gave me a 5 team people to direct.",9 novembre 2012,Quality manager,LE GROUPE LA POSTE
Groix,,"I really liked this job because it involved a contact with customers at all time. As this company is a bank as well as a post office, it is really important to give the best of ourselves in order to satisfy the customers, as we are in constant relation with money throughout the day.",10 octobre 2012,counter clerk,LE GROUPE LA POSTE
"Brussels, BRU",,It was what I learned at school so I had the chance I praticed what I have learned.,15 septembre 2014,Postman,LE GROUPE LA POSTE
Slough,,"Thanks to the work of La Poste I gained high skills of good cooperation in a group, good organization of work.",12 février 2013,Warehause Operative ( mail sotring ),LE GROUPE LA POSTE
"slough, berkshire",,"i was only at this job for 3 weeks as this job was a voluntary job. i loved working here. the people working here are nice. management are very friendly. the hardest part of this job was to know what city is which country etc. obviously like everyone, there was some you know, some you don't.",18 octobre 2012,mailsorter,LE GROUPE LA POSTE
Boulogne-Billancourt (92),,"Tres peu de chose a dire , tres bonne experience en alternance au sein du groupe la poste avec des missions variés , une culture d 'entreprise",11 juillet 2016,Assistante commerciale,LE GROUPE LA POSTE
Montpellier (34),,"Bien dans l ensemble, journées de travail de 7h normales.,Bonne formation aux logiciels,Bonne ambiance",8 juillet 2016,Centre financier,LE GROUPE LA POSTE
Chartres (28),,"grande entreprise,comprend de multiples activités,bonne entente avec l'équipe",7 juillet 2016,Stagiaire accueil et suivi clientèle,LE GROUPE LA POSTE
Bordeaux (33),,"Organisation des déplacements et des manifestations, réunions, séminaires..... Notes de frais. Gestion du parc automobile. Accueil téléphonique. Fournitures : gestion et commandes",7 juillet 2016,Assistante de Direction,LE GROUPE LA POSTE
Bron (69),,"L'équipe encadrante nous soutient dans le quotidien de notre travail. ,Journée typique : prise de poste à 8h30 pour ouverture à 9h pour le 1er guichetier, pause de 45 min pour déjeuner. fermeture du bureau à 18h.,Difficile d'expliquer les aspects positifs et négatifs, il faut le vivre pour se faire une réelle idée et l'expérience est différente suivant le bureau.",6 juillet 2016,Chargée de clientèle,LE GROUPE LA POSTE
La Courneuve (93),,C'est un travail simple et riche en soi qui apporte beaucoup de connaissance du domaine bancaire.,5 juillet 2016,Guichetière,LE GROUPE LA POSTE
Agen (47),,"L'aspect le plus agréable du poste, c'est d'être autonome, gérer son propre travail. Le point négatifs, l'évolution de carrière inexistant.",4 juillet 2016,Facteur,LE GROUPE LA POSTE
01150 Lagnieu,,"L'ambiance au sein de l'équipe est agréable, les nouveaux employés sont bien formés et accompagnés dans leur travail.",4 juillet 2016,Service courrier,LE GROUPE LA POSTE
Vincennes (94),,"La Poste est une entreprise en pleine évolution. Elle entre peu à peu dans une démarche un peu plus commercial, en suivant son plan de communication stratégique qui permettra à La Poste, d'ici 2020, de devenir concurrentiel au niveau bancaire.,Mon expérience au sein des bureaux de poste en tant que chargée de clientèle m'ont apporter une vision réelle sur le terrain, et de considérer les problèmes de communication entre la direction et les niveaux inférieurs de la hiérarchie, Le groupe La Poste est très spécialisé en plusieurs services, ce qui pose de réels soucis au niveau de la communication et de la compréhension.,Néanmoins, La Poste constitue une grande ""famille"" et l'ambiance de travail, malgré les conditions compliquées, est très agréable.",4 juillet 2016,Chargée de clientèle,LE GROUPE LA POSTE
Meylan (38),,"Nettoyage des bureaux,aucune opportunité de développement sur ce type de contrat,le management est proche et humain,les collaborateurs sont reconnaissants du travail que je fais et sont là pour m'aider si nécessaire.,l'aspect le plus difficile est le temps de travail trop court.,l'aspect le plus positif est la convivialité",3 juillet 2016,AGENT D'ENTRETIEN  de 06h15 à 09h40 adaptables,LE GROUPE LA POSTE
Paris,,"Took care of project management about helping salesmen to improve business efficiency.,Due to declining mail volume, the postal sector had to develop,a new management policy to increase the performance.,Strong corporate culture.",8 mai 2014,Junior Project Manager,LE GROUPE LA POSTE
Saint-Denis (93),,"Travail qui pouvait très être agréable si les conditions étaient adaptées, on nous demande de plus en plus d'efforts sans pour autant être augmenté, les dépassements d'horaires ne sont pas rémunérés, et les repos ne sont pas adaptés",3 juillet 2016,Facteur,LE GROUPE LA POSTE
Cayenne (GF),,Stage de 4 semaines en agence de recrutement qui s'est bien passé.,30 juin 2016,Stagiaire,LE GROUPE LA POSTE
Duclair (76),,"Emploi sympathique, qui laisse beaucoup de place à la vie privée.,Emploi varié avec de la bureautique et du térrain.",28 juin 2016,courrier postale et colis,LE GROUPE LA POSTE
Moselle,,"Management trop lourd !,Horaires flexibles !,Ambiance d'équipe !,Salaire faible !,Perspective d'avenir faible !",28 juin 2016,Facteur,LE GROUPE LA POSTE
Mouthoumet (11),,"Nous étions deux personne, l'agent d'accueil et moi.,Mon travail consister a répondre au téléphone et répondre à sa demande.,Je devais accueillir les clients 'physique' et le satisfaire a sa demande.,Je devais utiliser Exel pour des calculs de prix et la caisse le soir.",27 juin 2016,Agent d'Accueil (stage) - La Pom's (service,LE GROUPE LA POSTE
Val-d'Oise,,"Les journées étaient équilibrées entre elle. Certains jours étaient épuisant du fait du manque de personnel en heure de grande affluence. ,L'évolution à la poste n'était pas un but pour moi.,Il n'y avait pas d'encadrement ou de supervision durant les journées de travail. Le responsable se chargeait de remplacer le personnel manquant en période estivale.,L'aspect le plus difficile était de trouver une solution à chaque problème d'un client. Il n'y avait aucune demande similaire.,L'aspect le plus agréable était tout simplement de satisfaire les clients.",26 juin 2016,Guichetière,LE GROUPE LA POSTE
Roissy-en-France (95),,Une bonne équipe est primordiale pour une bonne cohésion et une évolution active.,26 juin 2016,Chargée de communication alternance,LE GROUPE LA POSTE
Trélissac (24),,"Le matin 8h30 on ouvrait les portes de La poste on accueillait les personnes toute la journée, de temps en temps les personnes de La Poste me donnait des choses à faire. On débauchés à 12h30 pour rouvrir à 14h00. L'après-midi on accueillait les personnes, pour finir à 17h30.",24 juin 2016,Chargée d'accueil stagiaire,LE GROUPE LA POSTE
Thourotte (60),,Très bonne entente avec les différents salariés ainsi qu'avec la hiérarchie.,22 juin 2016,"tri, factrice",LE GROUPE LA POSTE
roissy en brie,,"une journée débutait de bonne heure,,( je suis à la retraite), et se terminait relativement tôt en début d'après-midi.,c'est un travail très indépendant, dehors, la distribution du courrier est très agréable, sauf par mauvais temps.,cela permet de voir des gens, de parler et de s'épanouir, tout en travaillant.,une notation, une fois l'an, vous permet de vous situer dans votre avenir.,les collègues sont sympathiques, en règle générale.",21 juin 2016,Factrice,LE GROUPE LA POSTE
Paris (75),,"AGENT COURRIER (Ancien employé), Paris (75) – 21 juin 2016,Points positifs : Les salles de pauses sont bien équipé,Points négatifs : promesses d'embauches pas tenu,Je vais commencé par les mauvais cotés promesses d'embauches pas tenu j'ai fait 7 mois a la poste j'ai prouvé ma détermination ont m'a proposé de prolongé mon contrat ( CDD ) pour qu'il débauche sur un CDI ont ma fait comprendre qu'il fallait que je patiente ( départ en retraite de certains agents ) arrivé a la fin de mon contrat j'ai refait une demande ont ma répondu que mon service étais en sureffectif,(augmentation des ATM de 40%),ont m'a proposé de retourné a l'école ( FORMAPOSTE) que j'avais déja essayé 1 ans avant je n'avais pas été retenu .. apparemment formaposte débauche sur un cdi .. etre sur le terrain 7 mois pour retourner a l'école 7 mois apprendre ce que j'ai déjà fait bravo laposte",21 juin 2016,AGENT COURRIER,LE GROUPE LA POSTE
Brive-la-Gaillarde (19),,"Bonne entreprise à tout point de vu ,La hiérarchie est est de bonne qualité aussi",20 juin 2016,Facteur de secteur,LE GROUPE LA POSTE
75015 Paris,,"Mon stage au siège du Groupe La Poste qui a duré 7 semaines a été vraiment agréable.,J'arrivais le matin à 9h au siège, avec le technicien nous regardions si des utilisateurs de La Poste avaient notifié des pannes sur le service de gestion de ticket puis nous partions sur site pour les dépanner.,Ce que j'ai vraiment apprécié dans ce stage c'est que je me suis intégré très rapidement, on m'a fait confiance et j'ai pu réaliser beaucoup de tâches seul ou avec d'autres apprentis.,L'ambiance de travail était très agréable que ce soit entre collègue ou en intervention pour dépanné les utilisateurs.,Je ne trouve pas qu'il y ait d'aspect difficile dans le poste ou j'étais, il faut juste avoir une grande concentration pour ne pas passer à coté d'un ou de plusieurs détails et trouver les bons mot pour se faire comprendre par les utilisateurs.,L'aspect le plus agréable pour moi c'est d'aider les utilisateurs car je suis quelqu'un d'altruiste et lorsque quelqu'un me remercie pour l'avoir dépanné cela me procure beaucoup de bonheur.",20 juin 2016,Stage dans le cadre de la formation TRTE,LE GROUPE LA POSTE
Sophia Antipolis (06),,j ai effectuer les livraison inter-entreprises de colis sur le secteur Sophia antipolis,19 juin 2016,Chauffeur livreur VL,LE GROUPE LA POSTE
Monéteau (89),,"La journée commence avec l'arrivée matinale du courrier. Travail d'équipe:,Contrôles de sécurité. Répartition du volume de travail, gestion des problèmes véhicules et de personnel abs, réclamations clients, pb informatiques, aide aux agents, communication quotidienne et infos commerciales.,Les facteurs partis : alimentation du SI, reportings variés, RH, plannings, H supp , travail sur la réorganisation de la distribution, optimisation de l'espace, des coûts....,Pas d'opportunités de développement ,Difficile de faire la coupure vie pro / privée,Heure supplémentaires nombreuses et inévitables et..non payées.,Management rendu difficile à cause des réorganisations fréquentes,Beaucoup de hiérarchie,Les + : autonomie et polyvalence,           Prise de décisions, réactivité,           Contact clientèle",19 juin 2016,FACTEUR QUALITE MANAGER,LE GROUPE LA POSTE
Moissy-Cramayel (77),,"Alors que le trafic courrier est de plus en plus faible, il est compliqué de changer les mentalités des employés afin que le Groupe La Poste se modernise et diversifie ses activités.,Pour ce qui est de l'équilibre vie sociale-professionnelle, cette entreprise offre une certaine souplesse qui est appréciable.,Une expérience donc pas très simple mais qui m'a beaucoup apporté.",13 juin 2016,Assistant Responsable Qualité en alternance,LE GROUPE LA POSTE
