sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
 The cons are the inconsistent hours that I am scheduled every week and the lack of benefits, perks, or opportunity for any advancement;;;;;;;
 I am eager to grow my career, rather than continue in the same cycle indefinitely;;;;;;;
 The work is relatively simple as i have a predilection for the job requirements, and I would welcome an opportunity in a similar field;;;;;;;
 To clarify, I am not displeased with my current employment in any way, I am simply searching for a way to advance my personal career;;;;;;;
Being in a company for quite a long time I will be really missing the team;;;;;;;
I had a great life experience on a daily basis and have learned to focus on my work in all situations;;;;;;;
 I had the best co-workers ever;;;;;;;
actively involved in team engagement and service delivery;;;;;;;
 Learned how to do exceptional client service and work life balancing;;;;;;;
I like the place as its gives a lot of scope for learning but its bad with work life balance;;;;;;;
A very diversified atmosphere with great people to work with;;;;;;;
Great organisation with very nice work culture;;;;;;;
 Employee respect is one of the great value;;;;;;;
 Flexibility for new moms to be and women ;;;;;;;
Deloitte - 5/5;;;;;;;
,I have learned and grown in Deloitte as it was my first job and I really loved my Job and all the people I worked with;;;;;;;
 Its just i want to do something in US so I flew from India;;;;;;;
,I was working for Deloitte India - Supporting CA office's;;;;;;;
 My Arena in Tax was Net High Worth Individuals and 501 (c) 3 Organizations,;;;;;;;
Very chilled, relaxed but yet productive working environment;;;;;;;
 Many opportunities are available for growth and development, management system is very complex which is expected for such a large company;;;;;;;
Fun place to work with all various types of people and different groups in one area;;;;;;;
 The work is straight forward and mostly vendor based projects;;;;;;;
Deloitte dos not provide good work life balance and the management is poor;;;;;;;
nothing i like this job and site for computer designer and photographic and capture;;;;;;;
Accenture  is a multinational management consulting, technology services, and outsourcing company;;;;;;;
 Its incorporated headquarters have been in Dublin, Ireland;;;;;;;
 Accenture is one of the TOP IT consulting concern with very good SAP practice and process;;;;;;;
Great benefits, mixed experience with people, poor mid-level management;;;;;;;
"  Networking and ""who you know"" more important that what you deliver and the quality of your work";;;;;;;
I have learned to be patient, open minded, and ready to take on a new day;;;;;;;
 The company is great, with plenty of opportunities available inside;;;;;;;
Here at Alstom we work as a team to complete job mission on a day to day bases;;;;;;;
 Here we build the inside of a high voltage meters that will go inside of a transformer;;;;;;;
Working at Microsoft has been amazing;;;;;;;
 The culture is in everything that we do;;;;;;;
 You really do end up loving the company once you join the team;;;;;;;
 ,In a retail environment I have seen several pears grow and get promoted to management positions and corporate positions;;;;;;;
It's a big company and had a lot of politics but as a woman working in technology, it was tough to work through the politics;;;;;;;
 We were always disregarded;;;;;;;
 Not considered for better roles;;;;;;;
 No freedom to choose projects;;;;;;;
easily learned and gained knowledge,good place and enjoyed at work;;;;;;;
A typical day started off with reviewing, sorting, and when needed - respond to over-night emails;;;;;;;
 In addition to team and company correspondence, they also consisted of automation test results and testing done over-seas;;;;;;;
 Next, I would review my bugs in the database to see what needed follow-up on for that day;;;;;;;
 In my last position, we would have a daily scrum to sync up with all our teammates on where we all were in our tasks and goals for the project;;;;;;;
 This is also where we would make agile decisions on our workforce and re-assign folks or create new tasks to help keep the project on track for its determined release date;;;;;;;
,Before working at Microsoft, I was a video editor and award winning 3D animator;;;;;;;
 However, I didn't know very much about software development - just how to manipulate it to get my work done;;;;;;;
 Working at Microsoft, I learned on the job about how to perform software testing - specifically manual UI;;;;;;;
 In addition, I picked up a lot of general information on the use of Microsoft products and devices;;;;;;;
 I also learned a lot about corporate networking;;;;;;;
 Because I served on many teams, I got to understand on a deep level the following products: My Sync II, Point of Sale OS, Hyper-V, Zune, IE, and CE OS and many portable devices over the years;;;;;;;
,Microsoft is a big company, so my experience won't represent the company so much as just a small part of it that I worked with;;;;;;;
 My managers were all great and very helpful;;;;;;;
 Because I started after the company had matured, the managers were very good about work/life expectations;;;;;;;
 That made it a very safe environment to work in;;;;;;;
Supervise all operational transactions such as transfers, deposits, withdrawal, checks deposit for collection;;;;;;;
Great place to start and great experience;;;;;;;
 High intensity projects, but 4 years at Accenture is worth 10 in industry in my opinion;;;;;;;
Great culture;;;;;;;
 Work days can be long with lots of travel;;;;;;;
 The internal education programs are evolving as the consulting practice is starting to find its own footing;;;;;;;
,Most of the people I work with are good and honest people who care about others and their work products;;;;;;;
 The leadership is still trying to define the firms niche in the consulting realm;;;;;;;
 As a result, consistency across the service lines varies by practice and partner, but the concept is evolving;;;;;;;
The work has become repetitive and monotonous over a period of time, thus resulting in boredom;;;;;;;
,I learned people and time management skills;;;;;;;
,There is no micro management and we work independently;;;;;;;
,Co-workers are very co-operative and supportive of one another;;;;;;;
,Hardest part is to manage time and budget;;;;;;;
,The most enjoyable part of the job is to solve customer problems satisfactory;;;;;;;
Good place to learn and start a career;;;;;;;
 Ideas and suggestions are encouraged;;;;;;;
 If organisation and job satisfaction is more important to you than salary, please join Accenture;;;;;;;
 You will not be disappointed;;;;;;;
The people that I worked with made the job bearable;;;;;;;
 If they paid more than they did I would be there right now, but there was no sign of that improving so I had to go;;;;;;;
Accenture provides good Employee benefits;;;;;;;
,Long working hours, uncertainity of location as soon as you are off a project Accenture policy says you have to relocate based on the next project's location, which makes it very difficult for professionals to have a settled life;;;;;;;
I can't say nothing negative about this company;;;;;;;
 They are awesome to work for and really care about their employees;;;;;;;
 If you are so lucky to work for them you should;;;;;;;
it was great time to work in Nissan automotive company and the management of the company were encouraging and friendly with the employee;;;;;;;
 and getting to learn many thing in the company as the staff were motivating and encouraging to the employee;;;;;;;
I'm worked as Trainee Risk Adviser / Internal Auditor in EY Pakistan (MNC Big4 Audit & Consultancy Firm);;;;;;;
 Following responsibilities were entrusted are follow;;;;;;;
",- Risk advisory & Internal Audit Services,- Special assignments for instances; Valuation services, Tax consultation, impact Assessment, Product/project costing, and due diligence assignment";;;;;;;
Best place to work;;;;;;;
 I loved working here;;;;;;;
 The work environment was really motivating;;;;;;;
 I learned a lot of technical stuff at Accenture;;;;;;;
I am honored to be part of one of the top auditing firms in the world, Ernst and Young;;;;;;;
 They provide great experience that develops your overall growth;;;;;;;
This job was really great from training all the way on to production;;;;;;;
 It taught me alot about troubleshooting hardware and also on how to talk to people and resolve their issues in a timely manner;;;;;;;
excellent,lot of laerninngs, work like balance, work is good,people are good,employee centric;;;;;;;
There are no typical days at EY;;;;;;;
 One any given day the assignments and work can and will vary;;;;;;;
 The firm places people first and it is integrated well into its corporate culture;;;;;;;
,The work environment provides opportunities to take leadership positions based on ability and accomplishments rather than seniority;;;;;;;
 My colleagues are driven, motivated and talented;;;;;;;
Very good workplace for people interested in the field of Consulting;;;;;;;
 But employees should be provided more training on tools to further their knowledge;;;;;;;
Nice company to work for but a bit imposing in terms of adapting to the culture of companies it merges with;;;;;;;
 It has a global reach and I appreciate the Google-like atmosphere it imposes, however, I find the adaptability a bit lacking or trying hard at best;;;;;;;
getting to know the job, and the company, as part as school work experiance;;;;;;;
I enjoy working in the organisation and people are having helping attitude which motivates to work better and boost individual performance;;;;;;;
It was the greatest work experience I have had to date;;;;;;;
 I was exploited for my skills and talents and laid off when the developers found a more cost effective way to do my job but that is business;;;;;;;
Agile Development Program Management,BI Platform development,BI Architecture including CDM, LDM and PDM development;;;;;;;
Microsoft is a great company to work in, the shift in cultural values within company is amazing;;;;;;;
Press Reviews,Market Research,Management is part of the team work,It is very enjoyable to be with co-workers,Long Hours,Customer Relations;;;;;;;
A lot is expected of Deloitte staff and the work can be very tiring, however, do you come home feeling like you have earned your money;;;;;;;
 ,Management, for the large part is great to work with, but with the high levels of work that they have, it can be difficult to get a hold of them when you need them;;;;;;;
 In saying that, it does force you to develop yourself quickly and teach yourself new skills due to the level of autonomy that you have;;;;;;;
,My co-workers are some of the most incredible people I have met and would be a great addition to any company that takes them on in the future;;;;;;;
,A worrying feature, is the amount of contract work in all departments and the high rate of turn over;;;;;;;
I believe EDF to be a good solid Company to work for as they have a very solid background in what they do;;;;;;;
,They are experiencing the typical growing pains of any Company that is new in Canada but they are a Large Company elsewhere;;;;;;;
,This is a Company to watch in the future;;;;;;;
My colleges are nice and we communicate really with each others;;;;;;;
 My boss is cool but is demanding;;;;;;;
,The most enjoyable part of the job is to meet people and talk with them about ethic, doing presentation and work to develop an ethic behavior in the company;;;;;;;
,The hardest part is to convince the employee, that ethic is important for the company;;;;;;;
 We work a lot on training the employees because they do not understand the meaning of ethic;;;;;;;
Challenge work, good relationship between peers, good training, good benefit;;;;;;;
 A lot overtime;;;;;;;
"‰Û¢	Assisted 9 Financial Service clients within Business Operational and IT Controls to identify and manage both risks and opportunities to improve business performance, strengthen controls, and enhance corporate governance,‰Û¢	Performed control analysis testing and evaluations as part of SOC1/SOC2, GIPS Compliance, IT Audit and SOX audit support engagement for major Asset Managers in New York, Massachusetts, Pennsylvania and New Jersey,‰Û¢	Developed great relationships with client personnel at different levels including COO, VP of Internal Audit and Controllers";;;;;;;
",‰Û¢	Managed and supervised Deloitte teams from India on a daily basis to ensure the high quality of consulting services delivered to the clients";;;;;;;
#NAME?;;;;;;;
 In one hand the early shift from 6am to 2:30pm and on the other hand the late shift from 9:30am to 6:00pm;;;;;;;
 The schedules are accurate;;;;;;;
 However the calls determinate the daily timetable of the agent;;;;;;;
,- The managers are kind, caring and helpful;;;;;;;
 They adapt themselves to the employees;;;;;;;
 The atmosphere inside the workplace has been set very nicely;;;;;;;
 The employee is free to plan his day as wanted if the daily duties are done;;;;;;;
,- My co-workers are working for the team and the results;;;;;;;
,The multicultural environment of the Accenture office with its highly dynamic community life allows me to use my language skills learning a lot about IT;;;;;;;
,- The hardest part of the IT support is to handle the stress of the client anytime for every issue in order to help him efficiently towards the resolution;;;;;;;
,- The IT support floor of Grand Canal Plaza is an amazing place to work in;;;;;;;
 The Accenture tower is located in Dublin 4 close to Grand Canal Docks;;;;;;;
 I am pleased to go to eat in a very pleasant canteen relying on a lovely personnel;;;;;;;
 The prices are fair and the food is healthy;;;;;;;
 There is always a range of choices for every taste;;;;;;;
It is long hours of work and a big amount of challenges, but this is what makes Accenture an amazing school;;;;;;;
  It is a company which enables you to meet talented people with high motivation;;;;;;;
  And to learn a lot about yourselve and what you are capable of;;;;;;;
  I was surprised to discover all what I could achieve;;;;;;;
I haven't worked directly in the Google office, but in being partnered with them from YouTube the freedom in producing video content is awesome;;;;;;;
Working at EY is a treat in itself;;;;;;;
 It gives you the freedom to work according to the employee comfort levels;;;;;;;
 The entire organization runs on Trust, Quality and Time;;;;;;;
 Trust the employee to produce the best Quality work within the stipulated Time frame;;;;;;;
,I personally owe the leverage in my performance to this firm as it laid the path that had no options but to take it, be it a rough walk or a cake walk;;;;;;;
 This helped me in facing challenges and resolving them on a timely basis;;;;;;;
,I was introduced across various industry sectors and their business practices, made to interact with clients belonging to varied organizational levels, induced confidence in me by assigning lead roles for few engagements;;;;;;;
,The team environment is very friendly and at times go on team outings;;;;;;;
,Overall, it is an employee friendly organization with which I am always willing to work with;;;;;;;
Management friendly, supports staff and good pay;;;;;;;
 Promotes from within and provides good training programs for the staff;;;;;;;
Working at Microsoft can be very rewarding but also very frustrating;;;;;;;
 Work streams are heavily siloed so exploration into other work streams is difficult;;;;;;;
 Management is a mixed bag;;;;;;;
 Some are very good and provide great support, however others are absent and do not provide the necessary support;;;;;;;
It was a general shift, 9:30 to 6pm;;;;;;;
 I was handling a team of 15 to 18 people;;;;;;;
 It was a great team;;;;;;;
 We were supporting Canada tax preparation process;;;;;;;
 I had to contact Canada team on a daily basis to give updates & discuss projects, issues and other things;;;;;;;
It was a good job, and taught me a lot of different things about Microsoft and Networking;;;;;;;
Everyone I worked with was very intelligent and personable;;;;;;;
 It made me elevate my work habits so that I wasn't the lazy one sticking out of such a great bunch;;;;;;;
,My manager was extremely laid-back and hands-off, but we had weekly meetings to make sure we were on the same page for various projects and daily responsibilities;;;;;;;
,Hardest part of the job is that it sometimes became a bit routine, but there are so many great benefits at the Google campus that it's very easy to recharge and come back to my desk, or even work outside or at home, to keep things fresh;;;;;;;
Work day was very flexible;;;;;;;
" Had some long days but did not mind due to the interesting nature of the work and the fact that the company gave me the freedom to manage the ""when"" as far as getting the work done";;;;;;;
 ,I learned a lot of Online Marketing Strategy, SEO, Adwords from peers and formal training that was offered;;;;;;;
 ,Management was good;;;;;;;
 ,Boss was very good, no micromanagement what so ever but was generally available if you needed him;;;;;;;
 I felt comfortable suggesting crazy ideas without the fear of it destroying my career;;;;;;;
- To develop bank marketing strategies, by enhancing the sales of the branch;;;;;;;
 Supervising the sales team in the branch and ensuring the flow of sales planning;;;;;;;
,- Replace and assist branch manager when on call or leave, with awareness of all bank operation issue;;;;;;;
,- Ensure the spirit and teamwork between branch staff, in order to achieve the best result and therefore maximize profitability of the bank;;;;;;;
,- Great helpful co-workers;;;;;;;
"Data cabling,Commucation cabling,Metal munching (Containment),such as; ,bending conduit, cutting and fitting metal trunking and metal tray";;;;;;;
EY is great place to work, you can have proper work life balance and also there fun at work place;;;;;;;
 Fridays we have fun fridays and also people around are great;;;;;;;
 But when it comes to Compensation EY is a poor pay master;;;;;;;
 Management is not that great but can work in this place;;;;;;;
,Learning perspective, its a great place to build knowledge and develop you technical and interpersonal skills;;;;;;;
,You learn in each company, neither a company is bad or good it upto a person to take what it needs him/her to achieve the goal;;;;;;;
Preparation financial statements according to standards;;;;;;;
No recognition for contractors;;;;;;;
 Good place to work at;;;;;;;
 You have to be proactive at everything;;;;;;;
 friendly coworkers;;;;;;;
 It would be better if contractors are converted to permanent employees in a hassle free process and within a shorter period;;;;;;;
It would be very exciting working with top talents in your daily work and havig chance to touch the top high tech in the world which could change people's life;;;;;;;
 Although the re-org hurt the company a little, it still can find its way;;;;;;;
My review will not be typical because our situation was special;;;;;;;
 We were purchased from Nokia and a year later we were to be laid off and the office closed;;;;;;;
,It looks like the company is very good if you enjoy Windows;;;;;;;
 There's pleny of room for lateral moves and there are XBox and other discounts;;;;;;;
,The health insurance is not so good because the deductible is $1500 per person;;;;;;;
 My 4 person family has a $3750 deductible;;;;;;;
 Essentially, this means the insurance doesn't really exist;;;;;;;
 Preventive Care is, however, covered 100%;;;;;;;
Has great mentors and peer advisers to help you learn and get you adjusted;;;;;;;
Learned how to work with Visio, Excel, SQL, and Axure;;;;;;;
 Prepares you to work with many different stakeholders;;;;;;;
Maintaining a balance between obtaining targets and providing quality service while working with orphan clients - co-workers were a pleasure to work with;;;;;;;
I can't really say much that isn't already public knowlege;;;;;;;
,Free food, great benefits and an amazing corporate culture that fosters innovative thinking and leadership from all levels;;;;;;;
good workplace with ongoing training and a culture of respect to each other , I learned about filling gasses and the dangers and need to work safely and adhere to rules ;;;;;;;
 The management were approachable and straight talking , my co workers were easy to get on with and we worked well together, the hardest part of the job was working in the yard in the winter in bad conditions , the most enjoyable part of the job was knowing when you were dealing with medical gasses you were helping someone in need;;;;;;;
A great place to work, friendly surroundings;;;;;;;
 job satisfactory;;;;;;;
,one of the best companies to work  Accenture balances work and life equally;;;;;;;
Worked with Partners and staff creating proposals and other supporting graphics for fortune 500 companies;;;;;;;
 Supported a department of 150 people;;;;;;;
 Little supervision;;;;;;;
 Some impossible deadlines requiring late night hours;;;;;;;
 Creative freedom satisfying and interaction with department fun;;;;;;;
 Impossible deadlines drawback in the job;;;;;;;
Worked with high-impression web-content;;;;;;;
 Curated high volumes of product catalogs, ensured user friendly experience on Google Shopping;;;;;;;
Used to be a small company;;;;;;;
 Now as part ofBNP, it gets bigger with the drawbacks as inertia;;;;;;;
I learn a lot about time management, multitasking and how to take decisions based on data analyses;;;;;;;
They have their fingers into just about everything;;;;;;;
 It gives you the ability to try jobs in areas that you may have a great passion for;;;;;;;
 Great place for a first job;;;;;;;
 Teams are silod and used to work in isolation;;;;;;;
 There is a top down edict to change to become a single company;;;;;;;
 But, team vs;;;;;;;
 team was the culture before;;;;;;;
Air Liquide is a great place to work;;;;;;;
 The environment in ALPC is friendly and career advancement is a priority;;;;;;;
A good technology company with a friendly atmosphere;;;;;;;
 The work flow is claim and smooth;;;;;;;
 The management team is pretty easy going;;;;;;;
 The best part about the job is helping customers with their needs;;;;;;;
The whole team needs to work crazy during busy season in order to meet the company's requirement;;;;;;;
 Sometimes, teammates got frustrated and started to blame on each other;;;;;;;
ES EXCELENTE AMBIENTE DE TRABAJO EN EL CUAL HAY LA OPORTUNIDAD DE DESARROLLO Y APRENDIZAJE, ASI COMO DE CRECIMIENTO PROFESIONAL, JUNTO CON TUS COMPAÌÔEROS ASI COMO DEL INDIVIDUAL;;;;;;;
Research and Develop ideas that work;;;;;;;
,Provide resolutions to our client own unique enviroments;;;;;;;
,Exchange information with other Engineers;;;;;;;
,Train global on Microsoft new products and ventures;;;;;;;
,XBOX, Blackberry, Office 365, Exchange On-Premise, Sharepoint Online, Sharepoint On premise, Lync Online Lync On-premise;;;;;;;
A normal day begins with a coffee by my computer, getting ready to read my corporate mails, answer questions and make suggestions to my work team so we can exceed our client expectations;;;;;;;
,All our engagement teams were composed by at least:, 1 Partner, 1 Manager, 1 Senior Conultant, 1 Consultant,Interact with the management of the firm give me a lot of opportunities to observe how you are supposed to manage your team;;;;;;;
,Watch, think and adapt, thats how I will resume the firm - make an impact that matters!!;;;;;;;
Being contracted, a consultant, and a vendor, my experience has been an interesting one;;;;;;;
 Typically hours of work are pretty flexible, the co-workers are always hard working and hospitable;;;;;;;
 My day has always been varied in experience due to the nature of the projects I've been involved in;;;;;;;
 The hardest part of my job is always the viability of the work, too many times upper management reorganizes the team/division/department and projects are completely changed (to a less important task) or altogether ended;;;;;;;
 There is a very big issues when it comes to aligning management with those below;;;;;;;
 Leading to a lot of side projects and workarounds outside the view of the team work items;;;;;;;
I had an amazing expirience at Microsoft;;;;;;;
 but as a contractor had no the same chances as the Microsoft direct crew;;;;;;;
Long work days;;;;;;;
 However, it all depends on what dealership you are working for;;;;;;;
 Great People and lot of resources;;;;;;;
 Always something to learn;;;;;;;
Friendly and a challenging environment to work;;;;;;;
Great Projects with wonderful co-workers;;;;;;;
 Benefits are good and has many firm activities to get involved in;;;;;;;
An awesome company to work for;;;;;;;
 The culture is just mind blowing and the flexibility it provides allows to maintain perfect work life balance;;;;;;;
Deloitte was a great place to work a long time ago;;;;;;;
 Not they cut corners on everything;;;;;;;
 A typical workday is very stressful with no praise, ever;;;;;;;
 I have learned a lot since I have been here, but I stopped learning new things after the first year;;;;;;;
 Management is inept and overpaid;;;;;;;
 Most of my coworkers are lazy, but I have made good friends and relationships while I have been at Deloitte;;;;;;;
" The hardest part of the job is to keep coming to work knowing that there is no chance for advancement in my current department; not matter how hard you work";;;;;;;
 The most enjoyable part of the job is going home;;;;;;;
Lack of creative culture, Lures you with benefits but sweatshop mentality once you're a full time employee;;;;;;;
 They have a tendency to promote character assassination to justify dismissal;;;;;;;
 This is and org that teaches that there must always be one employee that is not hitting targets;;;;;;;
 Its not about competencies its about Likability at the company;;;;;;;
 If you chose this as a place to work you'll be engaged daily in trying to keep you job rather than doing your job;;;;;;;
The role involves the handling of claims against our policyholders, a typical day would involve managing a portfolio of claims requiring investigation, reviewing evidence, concluding liability and negotiating settlement of the claim;;;;;;;
,The most enjoyable part of this role was investigating legal liability and review of the regulations;;;;;;;
Working with great and intelligent people;;;;;;;
,Learned to always improve;;;;;;;
,Good management, not to authoritary;;;;;;;
It is a good experience working at one of the big four firm;;;;;;;
 Working as an assistant manager in statutory audit;;;;;;;
 The benefit provided are not in conjunction with the time and efforts devoted;;;;;;;
Best company and very determined to establish a great work life balance schedule;;;;;;;
The work environment is very good and learning;;;;;;;
 Fun doing environment and enthusiastic place to work;;;;;;;
 Right place to develop skills and future growth;;;;;;;
A great company that revolutionized the computer industry and is trying to make itself relevant in the age of the internet;;;;;;;
Work experience in Accenture is good, suggesting new things in different aspects;;;;;;;
 new values new creations helping new joiners are too good;;;;;;;
I have started my career with Accenture as Junior Software Engineer;;;;;;;
 Accenture has given lot of opportunities to grow;;;;;;;
1) Check emails,2) Allocate work to the team,3) Explain and coach the staff,4) Review the team's work,5) Send status emails to the Local team;;;;;;;
Good place to launch a career, most of the employees choose to leave due to heavy workload, if you can survive;;;;;;;
 Your salary will grow exponentially;;;;;;;
Fast paced, entrenurial environment which helped with healthy competition both internally and externally;;;;;;;
,Deplomacy needed everyday;;;;;;;
There are many, many perks to working at Google;;;;;;;
" While they do an excellent job at keeping their employees and contractors healthy and happy, those perks can easily ""trap"" you at work";;;;;;;
 So you have to make sure you balance not just work and play but time at the office and at home;;;;;;;
learned a lot and exited to go to work loved it;;;;;;;
 wish I was still in florida;;;;;;;
The people that were supervising me were both helpful and kind;;;;;;;
 And are a credit to Microsoft;;;;;;;
Excellent IT Environment,Talented Team,Scrum Celebrations,Good Managers,Learning New Technologies,Excellent Management,Enjoyed Working at EY;;;;;;;
Its a good Place to work, I enjoyed my time there, I made a lot of friends and I got a lot of flexibility;;;;;;;
,I had to manage my productivity day after day;;;;;;;
,I would recommend to work there for a first experience or for security reason;;;;;;;
Receive transaction data from our clients in the United States and then process & analyse it accordingly to achieve 100% quality & quantity accuracy;;;;;;;
I am very good team player as well as individual performer;;;;;;;
 I am very passionate about my work, family & the sports which I play;;;;;;;
It's a great place to work overall;;;;;;;
 I've learned team work, leadership, communication skills, responsibility, and dedication;;;;;;;
 I absolutely enjoyed my time working at Nissan;;;;;;;
great place to work,great place to work,training is very good,management is also good,managers arehighlt knowledgeable and trained,great leaders;;;;;;;
The work I did with Insight Global/Microsoft was very interesting work especially with working with all the images that were given to me and the other people I worked with;;;;;;;
Very good perks, team outings and also good work life balance;;;;;;;
 The management is always accessible and will help in animation critical case;;;;;;;
Great place to work with very friendly people;;;;;;;
 Approachable management who are always available to listen;;;;;;;
Good place to work with;;;;;;;
 Specially for new comers;;;;;;;
 Free transport;;;;;;;
 Employee friendly policies;;;;;;;
 Work life balance is fair;;;;;;;
 Better than other service based MNCs;;;;;;;
Thoroughly enjoyed my time working here;;;;;;;
 It was a great learning experience working on a fantastic product;;;;;;;
easy job and pretty much hired anyone;;;;;;;
 hired too many people then started to cut peoples hours;;;;;;;
What I like in my current project is there is life work balance meaning I can work from home;;;;;;;
  There is enough training to upskill your knowledge in certain application or tool;;;;;;;
A typical day at work involved arriving at my desk by 8:00 am to begin reviewing trade papers and other news services to learn about what was happening in markets that day;;;;;;;
 I worked on a trading floor and was a member of an eight-person trading desk;;;;;;;
 The trading floor is fast paced and intense and it was not uncommon to be switching between tasks several times a day;;;;;;;
 My manager's style was less involved, which I favored;;;;;;;
 My co-workers were excellent professionals that were very knowledgeable and always willing to lend a helpful hand;;;;;;;
 I'm sure they would describe me in the same way;;;;;;;
 The most difficult part of my position was attempting to communicate market nuances in the sector that I covered;;;;;;;
 One of the most valuable skills that I further developed was providing market analyses in formats that cross functional banking teams could digest;;;;;;;
 This required interaction with very senior banking staff members;;;;;;;
 The most enjoyable part of my position was working within the trading floor environment;;;;;;;
 There was plenty of banter and camaraderie between my co-workers and I;;;;;;;
During busy season we had to work for 15hrs which was typical days for me , I have gained loads of knowledge with my present job , I have complete touch of financial statement now , my co - workers were too supportive , working for long hours was the hardest part of my job , work environment was awesome in my present firm which would pull me to work more harder;;;;;;;
"-	Provided support to managers regarding planning, tracking and ran checkpoint & quality review meetings, facilitated workshops, prepared reports";;;;;;;
 Managed billing, tracked payments & supplies of material;;;;;;;
" ,-	Used SAP (financial system) to raise orders from supplies & processed payment invoices using internal financial system/ measured & reported on the projects performance,-	Ensured goods are purchased at a competitive advantage";;;;;;;
" Grant site access of delivery for onsite workers,-	 Managed project risk reviews & appropriate mitigation";;;;;;;
" Ensure the scope of work contains the right info ,-	Managed activity schedules using MS Project and reporting,-	Constantly interacted with clients and Government regulatory bodies for conformity,-	Made sure quality assurance inspection are carried out on materials to ensure they conform t,etc";;;;;;;
"My experience at Google summed up in one word would be ""unforgettable""";;;;;;;
 The opportunity of working in such a successful, prestigious company was a real privilege;;;;;;;
 A typical work day involved waking up early, catching the morning shuttle, enjoying a nice ride to work with comfortable seats and wifi, after arriving at my destination I would quickly go to the cafe nearest to me and grab some breakfast and coffee, then head over to my desk to check emails, and start working on my production;;;;;;;
 My co-workers were always very friendly and outgoing;;;;;;;
 We would all interact about our job and share insight or give advice to one another on how to improve;;;;;;;
 I've learned how important it is to ask for feedback on work in order to improve as well as give something back to the team;;;;;;;
 The hardest part of my job was completing the production in a timely manner but my favorite part was when it was finally accomplished at the end of the week;;;;;;;
 Overall great place to work!;;;;;;;
Answer incoming calls from individuals reporting fraudulent activities, corruption and unethical behaviour;;;;;;;
 Identifying, compiling and escalating priority issues in the form of call reports;;;;;;;
 The team is energetic, friendly, down to earth and easy to get along with;;;;;;;
 I learnt never to assume but to only look at the facts before making decisions;;;;;;;
EY is a great place to work and to help build your resume;;;;;;;
 It provides a good basis for developing your skills;;;;;;;
My role was tax manager;;;;;;;
 I worked on various international corporate tax issues;;;;;;;
I go to work on my shift schedule, sit down on my chair with 2 monitor in front of me;;;;;;;
I enjoy exceeding quotas,sometimes it,s only about a half of my shift but I already reach it;;;;;;;
I don't waste any single time even though I meet what my job requires me;;;;;;;
But I also balance my work;;;;;;;
The hardest part of the job is the shifting schedule but I learned to manage it;;;;;;;
I enjoy working in a team of dynamic people;;;;;;;
The channel what I work for, Axa Exclusiv, has a bad management;;;;;;;
 The company doesnå«t hear the employes;;;;;;;
 Too much changes of direction, goals, philosophy,;;;;;;;
Bad work environment;;;;;;;
 Too much burocracy;;;;;;;
Good Organisation to work with;;;;;;;
 Only issue is Night Shifts;;;;;;;
,Overall, a good company to work with if one is ready to work in night shifts;;;;;;;
Very long hours with no bonus;;;;;;;
 Most employees do not start their day until 10:30AM requiring everyone to stay in the office later;;;;;;;
I have held HR Executive and operational positions however no task is too menial for me ‰ÛÒ people are my passion and that is where I apply my skills;;;;;;;
 I have extensive generalist experience in all aspects of HR;;;;;;;
 I have travelled extensively to many Sub Sahara countries and also internationally and have gained invaluable experience in this regard;;;;;;;
Accenture have professionally qualified and talented employees;;;;;;;
 Working with them gives a lots of learning and useful lessons in life;;;;;;;
,It also offers a lot to those who want to study more;;;;;;;
,Growth prospects are very high as it has appraisals in every 9 months period;;;;;;;
,For female employees, this is the best company to work with;;;;;;;
,Fun activities and family gathering keep happening which gives employees a feel of being with family;;;;;;;
Allianz Global Assistance is an amazing company with an imbedded culture;;;;;;;
 The atmosphere is very welcoming and friendly overall;;;;;;;
,Typically, they shoot for the median market value when pricing a job, so expect a fair salary where the culture and benefits make up the difference;;;;;;;
 They allow fairly flexible work times for the majority of the company, however if you're looking at the call center you will be expected to adhere to a more structured work schedule by necessity;;;;;;;
,The (somewhat) new CEO is great;;;;;;;
 He walks around and makes a point to talk to anyone whenever he has time;;;;;;;
,Attire is casual, most people wear jeans everyday (including the CEO) and on casual Friday's you're allowed to wear shorts (within reason);;;;;;;
,The building they're housed in is really something else;;;;;;;
 Very bohemian-industrial, but very clean;;;;;;;
 The floors are named by different continents and the conference rooms are identified by country names within said continents;;;;;;;
No surprises when it comes to your typical consulting firm;;;;;;;
 Fair compensation and heavy workloads;;;;;;;
I joined this company 3 years back as an associate software engineer;;;;;;;
,The working environment is something that stands out here;;;;;;;
,After being trained in SAP in the domain of business intelligence, I went to work with some of the biggest companies in the world, who were our clients;;;;;;;
,A very good work culture and a great place to start off your career;;;;;;;
Ernst & Young is a great place to work;;;;;;;
 It was an honor to be a part of a big 4 accounting firm;;;;;;;
4 stars i give it good owner takes real care of you;;;;;;;
very clean place to work;;;;;;;
Good facilities,Ground breaking work,excellent work environment and facilities,Only concern is about job security as it could sometimes be on the edge when org restructures or project shuts down;;;;;;;
A great platform to launch a career as a CA, Deloitte has provided me with numerous opportunities to broaden my horizons in my chosen field;;;;;;;
I volunteered to receive online training from Google, in order to help small businesses put their business on the internet;;;;;;;
 These businesses received a month subscription for a free website from Google;;;;;;;
